,x,Y
1,AAB,N
2,AFG,AFG
3,ALB,ALB
4,ALG,ALG
5,ANG,ANG
6,ARG,ARG
7,ARM,ARM
8,AUH,N
9,AUL,AUL
10,AUS,AUS
11,AZE,AZE
12,BAD,N
13,BAH,BAH
14,BAR,N
15,BAV,N
16,BEL,BEL
17,BEN,BEN
18,BFO,BFO
19,BHU,BHU
20,BLR,BEL
21,BLZ,BLZ
22,BNG,BNG
23,BOL,BOL
24,BOS,BOS
25,BOT,BOT
26,BRA,BRA
27,BUI,BUI
28,BUL,BUL
29,CAM,CAM
30,CAN,CAN
31,CAO,CAM
32,CDI,IVO
33,CEN,CEN
34,CHA,CHA
35,CHL,CHL
36,CHN,CHN
37,COL,COL
38,COM,COM
39,CON,CON
40,COS,COS
41,CRO,CRO
42,CUB,CUB
43,CYP,CYP
44,CZE,CZE
45,CZR,CZR
46,DEN,DEN
47,DJI,N
48,DMA,N
49,DOM,DOM
50,DRC,PRK
51,DRV,DRV
52,ECU,ECU
53,EGY,EGY
54,EQG,N
55,ERI,ERI
56,EST,EST
57,ETH,ETH
58,FIN,FIN
59,FRN,FRN
60,GAB,GAB
61,GAM,GAM
62,GDR,N
63,GFR,FRG
64,GHA,GHA
65,GMY,FRG
66,GNB,GNB
67,GRC,GRC
68,GRG,GRG
69,GRN,N
70,GUA,GUA
71,GUI,GUI
72,GUY,GUY
73,HAI,HAI
74,HAN,N
75,HON,HON
76,HSE,N
77,HSG,N
78,HUN,HUN
79,ICE,ICE
80,IND,IND
81,INS,INS
82,IRE,IRE
83,IRN,IRN
84,IRQ,IRQ
85,ISR,ISR
86,ITA,ITA
87,JAM,JAM
88,JOR,JOR
89,JPN,JPN
90,KEN,KEN
91,KOR,N
92,KUW,KUW
93,KYR,KYR
94,KZK,KZK
95,LAO,LAO
96,LAT,LAT
97,LBR,LBR
98,LEB,LEB
99,LES,LES
100,LIB,LIB
101,LIT,LIT
102,LUX,LUX
103,MAA,MAA
104,MAC,MAC
105,MAG,MAG
106,MAL,MAL
107,MAW,MAW
108,MEC,MAS
109,MEX,MEX
110,MLD,MLD
111,MLI,MLI
112,MLT,MLT
113,MOD,N
114,MON,MON
115,MOR,MOR
116,MYA,MYA
117,MZM,MZM
118,NAM,NAM
119,NEP,NEP
120,NEW,NEW
121,NIC,NIC
122,NIG,NIG
123,NIR,NIR
124,NOR,NOR
125,NTH,NTA
126,OMA,OMA
127,PAK,PAK
128,PAL,PAU
129,PAN,PAN
130,PAP,N
131,PAR,PAR
132,PER,PER
133,PHI,PHI
134,PNG,N
135,POL,POL
136,POR,POR
137,PRK,PRK
138,QAT,QAT
139,ROK,ROK
140,ROM,RUM
141,RUS,RUS
142,RVN,DRV
143,RWA,RWA
144,SAF,SAF
145,SAL,SAL
146,SAU,SAU
147,SAX,N
148,SEN,SEN
149,SIC,N
150,SIE,SIE
151,SIN,SIN
152,SLO,SLO
153,SLU,N
154,SLV,SLV
155,SOL,SOL
156,SOM,SOM
157,SPN,SPN
158,SRI,SRI
159,SUD,SUD
160,SUR,SUR
161,SVG,N
162,SWA,SWASA
163,SWD,SWD
164,SWZ,SWEUR
165,SYR,SYR
166,TAJ,TAJ
167,TAW,TAW
168,TAZ,TAZ
169,THI,THI
170,TKM,TKM
171,TOG,TOG
172,TRI,TRI
173,TUN,TUN
174,TUR,TUR
175,TUS,N
176,UAE,UAE
177,UGA,UGA
178,UGD,#N/A
179,UKG,UK_
180,UKR,UKR
181,URU,URU
182,USA,USA
183,USR,USR
184,UZB,UZB
185,VEN,VEN
186,WRT,N
187,YAR,YEM
188,YEM,N
189,YPR,N
190,YUG,YUG
191,ZAM,ZAM
192,ZIM,ZIM
